ticker,official_name,cik,name,title
UHS,Universal Health Services,352915,Alan B. Miller,Founder and Executive Chairman
UHS,Universal Health Services,352915,Marc D. Miller,President and CEO
UHS,Universal Health Services,352915,Steve G. Filton,Executive Vice President and CFO
VLO,Valero Energy,1035002,Lane Riggs,President & CEO
VLTO,Veralto,1967680,Steven Rales,chairman of the board
VLTO,Veralto,1967680,Mitchell Rales,chairman of the executive committee
VLTO,Veralto,1967680,Rainer Blair,president and CEO
VRSN,Verisign,1014473,James Bidzos,chairman & CEO
VRSK,Verisk Analytics,1442145,Lee Shavel,CEO
VRSK,Verisk Analytics,1442145,Bruce Hansen,chair
VZ,Verizon,732712,Hans Vestberg,chairman & CEO
VZ,Verizon,732712,Tony Skiadas,EVP & CFO
VRTX,Vertex Pharmaceuticals,875320,Reshma Kewalramani,president and CEO
VRTX,Vertex Pharmaceuticals,875320,Jeffrey Leiden,chairman
VRTX,Vertex Pharmaceuticals,875320,David Altshuler,CSO
VTRS,Viatris,1792044,Scott A. Smith,CEO
VICI,Vici Properties,1705696,Edward B. Pitoniak,CEO
V,Visa Inc.,1403161,Ryan McInerney,CEO
V,Visa Inc.,1403161,John F. Lundgren,chairman
V,Visa Inc.,1403161,Oliver Jenkyn,group president & Global Markets
V,Visa Inc.,1403161,Kelly Mahon Tullier,vice chair & CPO
V,Visa Inc.,1403161,Chris Suh,CFO
VST,Vistra Corp .,1692819,Jim Burke,CEO
WRB,W. R. Berkley Corporation,11544,William R. Berkley,executive chairman
WRB,W. R. Berkley Corporation,11544,W. Robert Berkley Jr.,president & CEO
GWW,W. W. Grainger,277135,D.G. Macpherson,chairman & CEO
GWW,W. W. Grainger,277135,Deidra Merriwether,CFO
WAB,Wabtec,943452,Albert J. Neupaver,chairman
WAB,Wabtec,943452,Rafael Santana,president and CEO
WBA,Walgreens Boots Alliance,1618921,Stefano Pessina,executive chairman
WBA,Walgreens Boots Alliance,1618921,Tim Wentworth,CEO
WBA,Walgreens Boots Alliance,1618921,Ornella Barra,COO
WMT,Walmart,104169,Greg Penner,chairman
WMT,Walmart,104169,Doug McMillon,"president , CEO"
DIS,Walt Disney Company (The),1744489,James P. Gorman,chairman
DIS,Walt Disney Company (The),1744489,Bob Iger,CEO
WBD,Warner Bros. Discovery,1437107,Samuel DiPiazza,chairman
WBD,Warner Bros. Discovery,1437107,David Zaslav,president and CEO
WBD,Warner Bros. Discovery,1437107,John C. Malone,chairman emeritus
WM,Waste Management,823768,"James C. Fish, Jr.",president & CEO
WAT,Waters Corporation,1000697,Flemming Ørnskov,chairman
WAT,Waters Corporation,1000697,Udit Batra,CEO
WFC,Wells Fargo,72971,Steven Black,chairman
WFC,Wells Fargo,72971,Charles Scharf,president and CEO
WST,West Pharmaceutical Services,105770,Eric M. Green,CEO since 2015
WST,West Pharmaceutical Services,105770,Silji Abraham,CDO since 2018
WST,West Pharmaceutical Services,105770,Bernard J. Birkett,CFO since 2018
WDC,Western Digital,106040,Irving Tan,CEO
WY,Weyerhaeuser,106535,Devin Stockfish,CEO
WSM,"Williams-Sonoma, Inc.",719955,Laura Alber,CEO
WSM,"Williams-Sonoma, Inc.",719955,Jeff Howie,CFO
WSM,"Williams-Sonoma, Inc.",719955,Sameer Hassan,CTO
WMB,Williams Companies,107263,Alan S. Armstrong,CEO
WTW,Willis Towers Watson,1140536,Paul Thomas,chairman
WTW,Willis Towers Watson,1140536,Carl Hess,CEO
WTW,Willis Towers Watson,1140536,Inga Beale,director
WDAY,"Workday, Inc.",1327811,Aneel Bhusri,executive chairman
WDAY,"Workday, Inc.",1327811,Carl Eschenbach,CEO
WYNN,Wynn Resorts,1174922,Craig Billings,CEO
XEL,Xcel Energy,72903,Robert C. Frenzel,"chairman , president , and CEO"
XEL,Xcel Energy,72903,Timothy O'Connor,Executive VP and COO
XEL,Xcel Energy,72903,Brian J. Van Abel,Executive VP and CFO
XYL,Xylem Inc.,1524472,Matthew Pine,president & CEO
XYL,Xylem Inc.,1524472,Bill Grogan,CFO
YUM,Yum! Brands,1041061,Brian Cornell,non-executive chairman
YUM,Yum! Brands,1041061,David Gibbs,CEO
YUM,Yum! Brands,1041061,Tracy Skeans,COO
ZBRA,Zebra Technologies,877212,Anders Gustafsson,chair
ZBRA,Zebra Technologies,877212,William Burns,CEO
ZBH,Zimmer Biomet,1136869,Ivan Tornos,CEO
ZTS,Zoetis,1555280,Kristin Peck,CEO
ZTS,Zoetis,1555280,Michael McCallister,chair
ZTS,Zoetis,1555280,Ester Banque,EVP
